idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
91,The Climate Action Tracker,Analytics and Research Tool,Industry,"The Climate Action Tracker (CAT) is an independent scientific tool that assesses government climate actions against the Paris Agreement's targets. It evaluates national climate mitigation efforts, predicts future emissions impacts, and identifies emissions gaps to guide global warming mitigation strategies.","CAT informs policymakers and the public, promoting informed decisions that drive effective climate policies, potentially reducing global warming impacts and supporting sustainable development",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"The offices are located in  Germany, the United States, Togo, Australia, Nepal and Trinidad and Tobago, but the ssessment and tracking is carried out worldwide","53.5120412, -2.2434612",,,,,,,,,,,,,Climate Policy,Emissions Tracking,Global Warming Analysis,CAT,Climate Action Tracker,Climate action,Partnerships for the goals,,,53.5120412,-2.2434612,,,,,,,,,,,,,,,,,,,,,,,,,worker,والاجتماعية,psychological,bicicleta,politicians,threats,business,craft,publication,countries,office,marginalised,harm,instructors,innovationchallenge,collaboration,share_link,marginalized,social,project,collaborative,country,developed,administration,improve,analyzed,professionnelle,socialize,asian,political,participate,,,,,,,Emissions Tracking,CAT,Climate Action Tracker,Global Warming Analysis,Climate policy,Partnerships for the goals,Climate action,,
92,City carbon networks,Research,Improve Air Quality,"The study on city carbon networks assesses how urban consumption impacts hinterland emissions and guides investment and trading strategies for carbon reduction. By mapping the flow of emissions between cities, it highlights how targeted carbon trading can enhance mitigation efforts and accelerate progress towards carbon neutrality. This approach aims to refine global and local strategies to reduce carbon emissions effectively.","Provides a deeper understanding of urban emissions, influencing policy for more effective climate action and promoting strategies that address both local and imported emissions.",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"-24.7761086, 134.755",,,,,,,,,,,,,Urban Sustainability,Carbon Footprint,Greenhouse Gas Emissions,Trans-boundary Emissions,City Carbon Networks,Sustainable cities and communities,Climate action,,,-24.7761086,134.755,,,,,,,,,,,,,,,,,,,,,,,,,cooled,administration,municipales,improve,improving,vendors,extracted,neighborhood,fight,storms,entrenamiento,threats,neighbourhood,politicians,heat,participate,regulations,political,rains,pollution,rainstorm,strategy,harm,required,restrictions,émissions,retailers,desired,competitions,,,,,,,,,Trans-boundary Emissions,Urban Sustainability,Carbon Footprint,Greenhouse Gas Emissions,City Carbon Networks,Climate action,Sustainable cities and communities,,
93,Climate Budget Tagging (CBT),"Policy, Financial tool",Industry,Climate Budget Tagging (CBT) is a financial management tool designed to help governments track and optimize their climate-related expenditures within public budgets. It aims to enhance the transparency and efficiency of climate finance and is a crucial component in integrating climate change considerations into broader fiscal policies and strategies.,"By ensuring targeted and effective use of climate-related funds, CBT enhances the impact of government spending on sustainable development goals, improves national resilience to climate impacts, and supports strategic climate policy implementations.",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"https://www.undp.org/publications/knowing-what-you-spend-guidance-note-governments-track-climate-change-finance-their-budgets

Georgia Case: https://blogs.worldbank.org/en/europeandcentralasia/budgeting-climate-change-action-lessons-georgia","53.5120412, -2.2434612",,,,,,,,,,,,,Climate Finance,Sustainable Development,Public Financial Management,Climate Policy,Government Budgeting,Responsible consumption and production,Climate action,Partnerships for the goals,,53.5120412,-2.2434612,,,,,,,,,,,,,,,,,,,,,,,,,political,strategy,required,restrictions,innovationchallenge,desired,cooled,repurposed,project,financières,storms,administration,improve,réchauffement,financial,improving,implementing,aimed,competitions,rains,regulations,participate,heat,rainstorm,money,purchase,efficient,politicians,business,craft,,,,,,,,Climate policy,Climate Finance,Public Financial Management,Government Budgeting,sustainable development,Partnerships for the goals,Climate action,Responsible consumption and production,
94,Green City Bond,Financial Instrument,Industry,"Green City Bonds provide a financial mechanism for cities to fund sustainable infrastructure projects.  The approach allows cities to raise capital for projects that improve environmental sustainability and resilience, such as renewable energy installations and energy-efficient building upgrades.","Increases funding for green projects, boosts economic growth through infrastructure development, and promotes sustainable urban planning.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"https://www.climate-kic.org/success-stories/green-bonds-for-cities/

Similar, larger scale - Green municipal bonds:

https://oneplace.fbk.eu/en/financing-energy-efficiency/financing-energy-efficiency/transnational-methodological-framework/financing-models-for-energy-efficiency/green-municipal-bonds/","54.7023545, -3.2765753","59.6749712, 14.5208584","-28.8166236, 24.991639",,,,,,,,,,,Green Bonds,Sustainable Infrastructure,Urban Development,Financial Strategy,Environmental Sustainability,Sustainable cities and communities,Climate action,Partnerships for the goals,,54.7023545,-3.2765753,-28.8166236,24.991639,59.6749712,14.5208584,,,,,,,,,,,,,,,,,,,,,launched,color,money,purchase,politicians,neighbourhood,sustainable,business,biowaste,cooled,repurposed,financières,eco,colourful,ecological,administration,municipales,financial,downloaded,improving,greenhouse,neighborhood,political,participate,improvement,,,,,,,,,,,,,Financial Strategy,Green Bonds,Sustainable Infrastructure,Environmental Sustainability,urban development,Sustainable cities and communities,Climate action,Partnerships for the goals,
95,Climate Budgets,"Policy, Finance",Health,"The concept of climate budgets focuses on integrating climate action into the financial planning of cities. By allocating specific portions of the budget to combat climate change, cities can systematically address environmental targets in line with their economic strategies.","Promotes sustainable development through strategic financial planning, potentially reducing long-term climate-related costs and fostering economic stability.",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Affected Sector: Government Finance and Environmental Policy

https://economy-finance.ec.europa.eu/document/download/dc5d517e-864b-454f-87d5-afec6a27f2ed_en?filename=4.%20C40%20Climate%20Budgeting.pdf","53.5120412, -2.2434612",,,,,,,,,,,,,Climate Budgets,Sustainable Finance,Urban Planning,Green Policy,Financial Strategy,Climate action,Sustainable cities and communities,,,53.5120412,-2.2434612,,,,,,,,,,,,,,,,,,,,,,,,,publication,printing,costs,cooled,et,financières,eco,ecological,country,storms,administration,downloaded,ejecución,rains,political,participate,heat,rainstorm,purchase,politicians,entrenamiento,business,downloadable,biowaste,launched,,,,,,,,,,,,,Green Policy,Climate Budgets,Urban planning,Sustainable Finance,Financial Strategy,Sustainable cities and communities,Climate action,,
96,eTrash2Cash,Environmental/Social Enterprise,Industry,"The project incentivizes recycling by buying waste from the public, focusing on transforming it into recyclable products and organic compost. This initiative not only aims to reduce environmental pollution but also offers financial benefits to low-income earners, promoting sustainable waste management practices.",Reduces waste and provides income opportunities for low-income communities,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Partnership between the local social enterprise nad local government.

Backed by Refuse Management and Sanitation Board‚Äù (RMSB) of Kano, Nigeria;
tackles the issue that was mentioned to be topicla for North Macedonia as well: a lot of trash is illegally burned and releases hefty amounts of methane and other greenhouse gases, as well as pollutants that pose health risks to the city‚Äôs inhabitants","11.8948389, 8.5364136",,,,,,,,,,,,,Waste Management,Recycling,Poverty Alleviation,Economic Empowerment,,No poverty,Responsible consumption and production,Climate action,,11.8948389,8.5364136,,,,,,,,,,,,,,,,,,,,,,,,,landfill,improve,réchauffement,flames,pollution,clean,threats,biowaste,gasoline,cooled,repurposed,chemicals,eco,ecological,bonfires,populated,demographics,reconstitution,harm,required,restrictions,émissions,,,,,,,,,,,,,,,,recycling,economic empowerment,waste management,Poverty Alleviation,,Responsible consumption and production,No poverty,Climate action,
97,Jelbi,Digital/Technology,Transport,"Jelbi aims to reduce car traffic in metropolitan areas by providing a seamless mobility service. Launched by Berlin's public transportation agency, BVG, and developed by Trafi, a Lithuanian startup, Jelbi merges public transport, shared vehicles, and on-demand services into one app. With over 25 transportation partners, Jelbi enhances urban liveability by improving air quality and reducing CO2 emissions through decreased car use. The service also plans to introduce dynamic pricing and uses data to aid city planning, such as preventing traffic jams and creating new bike lanes.","Improves urban liveability, enhances air quality, fosters efficient city planning and traffic management, reduces CO2 emissions.",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,backed by the local govermennt through the partnership with the local public trasport service,"52.5108638, 13.3989421",,,,,,,,,,,,,Urban Transportation,Public Health,Innovation,Shared Mobility,,"Industry, innovation and infrastructure",Sustainable cities and communities,Climate action,,52.5108638,13.3989421,,,,,,,,,,,,,,,,,,,,,,,,,participate,réchauffement,roads,bike,neighborhood,pollution,launched,neighbourhood,populated,demographics,reconstitution,start,émissions,cooled,repurposed,collaboration,ride,collaborative,municipales,,,,,,,,,,,,,,,,,,,public health,Urban Transportation,Shared Mobility,innovation,,Climate action,"Industry, innovation and infrastructure",Sustainable cities and communities,
98,"Airly, air sensors",Technology &amp; Management Approach,"Environmental Health, Urban Planning","Airly addresses air pollution through a network of sensors providing real-time air quality data. This initiative empowers individuals, communities, and policymakers with actionable insights to combat pollution and enhance public health.","Improves public health awareness, supports informed decision-making for cleaner air, and promotes environmental sustainability",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"50.6668184, 17.9236408",,,,,,,,,,,,,Air Quality Monitoring,Pollution Control,Sustainable Cities,Climate Action,Public Health,Good health and well-being,Sustainable cities and communities,Climate action,,50.6668184,17.9236408,,,,,,,,,,,,,,,,,,,,,,,,,month,populated,language,demographics,harm,formalization,émissions,cooled,repurposed,health,day,project,eco,ecological,administration,improve,decades,improving,analyse,analyzed,tracking,translation,pollution,clean,political,керівник,participate,medicine,politicians,threats,sustainable,older,biowaste,,,,,Pollution Control,public health,climate action,Sustainable Cities,Air Quality Monitoring,Sustainable cities and communities,Good health and well-being,Climate action,
99,,Technology,Energy and Waste Management,"The Bangalore-based startup's initiative, Carbonlites, converts organic waste into biogas, effectively turning garbage into a renewable energy source. This innovative approach not only reduces the volume of waste in landfills but also produces a cleaner alternative to liquefied petroleum gas (LPG) and generates organic fertilizer, addressing waste management and energy challenges simultaneously.","Provides cleaner energy, reduces landfill waste, supports sustainable urban development, and enhances local air quality.",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.dw.com/en/bangalore-startup-turns-garbage-into-gas/a-51034766,"12.9767936, 77.590082",,,,,,,,,,,,,Waste Management,Renewable Energy,Circular Economy,Sustainable Cities,Climate Action,Affordable and clean energy,Sustainable cities and communities,Responsible consumption and production,Climate action,12.9767936,77.590082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waste management,Sustainable Cities,circular economy,renewable energy,climate action,Affordable and clean energy,Responsible consumption and production,Climate action,Sustainable cities and communities
100,,Technology,"Waste Management, Renewable Energy","Solution for solid-state batch anaerobic digestion for organic waste, turning it into renewable energy and compost. This collaboration, pioneering in Brazil, embodies a Nature-based Solution (NbS) and Circular Economy, aiming for significant CO2 reduction by diverting waste from landfills. The project supports urban agriculture and reforestation, enhancing soil, fostering biodiversity, and improving food security, aligning with Rio's Climate Action Plan to reduce GHG emissions and advance zero-waste governance.","food security, supports urban agriculture, reduces GHG emissions, and promotes sustainable waste management",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,http://www.rio.rj.gov.br/web/international/exibeconteudo?id=6922279,"-22.9110137, -43.2093727",,,,,,,,,,,,,Waste Management,Renewable Energy,Circular Economy,Sustainable Cities,Climate Action,Sustainable cities and communities,Responsible consumption and production,Climate action,,-22.9110137,-43.2093727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circular economy,climate action,Sustainable Cities,renewable energy,waste management,Climate action,Sustainable cities and communities,Responsible consumption and production,
